,constellation,right_ascension,declination,app_mag,distance,spectral_type,brown_dwarf,mass,radius,discovery_year
0,Pegasus,0h 0m 13.54s,25° 54′ 18″,,46.1,T4.5,SDSS J000013.54+255418.6 [de],48,0.99,2004
1,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,,192,L1γ,2MASS J00040288-6410358,19,1.63,
2,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,,,L5,LHS 102BC,,,2002
3,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,,37.7,M9.5,2MASS J00242463-0158201,79,1.09,
4,Cassiopeia,0h 25m 3.65s,47° 59′ 19.1″,,143,L4,2MASS J00250365+4759191AB,,,
5,Pisces,0h 27m 41.97s,5° 3′ 41.7″,,236,M9.5β,2MASS J00274197+0503417,31,1.44,
6,Andromeda,0h 27m 55.92s,22° 19′ 32.8″,,46.9,M8,2MASS J00275592+2219328,,,
7,Cetus,0h 30m 30.13s,−14° 50′ 33.3″,,87.2,L7,2MASSW J0030300-145033,54,0.98,n/a
8,Cetus,0h 33m 23.86s,−15° 21′ ″,,131,L1-L4β,2MASS J00332386-1521309 [de],29,1.43,n/a
9,Pisces,0h 34m 51.57s,5° 23′ 5″,,31,T6.5,2MASS J00345157+0523050,42,0.94,n/a
10,Pisces,0h 36m 16.17s,18° 21′ 10.4″,12.47,28.6,L3.5,2MASS 0036+1821,42,0.94,2000
11,Pisces,0h 45m 21.43s,16° 34′ 44.6″,,57,L2β,2MASSW J0045214+163445,23,1.62,n/a
12,Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,,40,L7.5p,WISEP J004701.06+680352.1 [fr],12,1.3,n/a
13,Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,,34,T7,2MASS J00501994-3322402 [de],40,0.94,n/a
14,Sculptor,0h 55m 39.72s,−28° 22′ 42″,,,M7.5,2MASS J00034227-2822410,,,n/a
15,Cetus,0h 58m 42.53s,−6° 51′ 23.9″,,96,L0β,2MASS J00584253-0651239 [de],29,1.43,n/a
16,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,18.08,30,T8.5,CFBDS J005910.90–011401.3,23,,2013
17,Pisces,1h 3m 32.03s,19° ′ 35″,,70,L6β,2MASSI J0103320+193536,52,0.98,
18,Cetus,1h 7m 52.42s,−0° 41′ 56.3″,,51,L8,SDSSp J010752.33+004156.1 [de],52,0.98,
19,Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,,163,L2:,2MASSI J0117474-340325 [de],20,1.62,
20,Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,,130,L0γ,2MASS J01415823-4633574 [de],20,1.61,
21,,1h 51m 41.55s,12° 44′ 30″,,70,T1,SDSS J015141.69+124429.6,47,0.97,
22,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65,L5.5,DENIS-P J020529.0−115925A,,,1997
23,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65,L8,DENIS-P J020529.0−115925B,,,1997
24,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65,T0,DENIS-P J020529.0−115925C,,,1997
25,Cetus,2h 7m 42.84s,−0° 0′ 56.4″,,111,T4.5,SDSS J020742.48+000056.2 [de],47,0.97,n/a
26,,2h 10m 38.57s,−30° 15′ 31.3″,,101,L0γ,2MASS J02103857-3015313,15,1.53,n/a
27,,2h 34m 0.93s,−64° 42′ 6.8″,,155,L0γ,2MASS J02340093-6442068,20,1.62,n/a
28,Cetus,2h 41m 11.51s,−3° 26′ 58.7″,,152,L0γ,2MASS J02411151-0326587 [de],27,1.41,n/a
29,Fornax,2h 43m 13.71s,−24° 53′ 29.8″,,35,T6,2MASS J02431371−2453298,33,0.99,2002
30,,2h 48m 41s,−16° 51′ 21.6″,,53,M8,LP 771-21,78,1.08,n/a
31,,2h 51m 13.27s,−0° 47′ 36.4″,,,M8,2MASS J02511327+0047364,,,n/a
32,Aries,2h 53m 0.84s,+16° 52′ 53.2″,15.40,12.578,M7,Teegarden's star,80,1.27,2003
33,,2h 53m 59.8s,32° 6′ 37.3″,,184,M7β,2MASS J02535980+3206373,65,1.9,n/a
34,Cetus,2h 54m 9.45s,2° 23′ 59.1″,16.01,24,T8,WISE J0254+0223,65,1.9,n/a
35,Eridanus,2h 55m 3.57s,−47° 0′ 50.9″,22.92,16.2,L8,DEN 0255-4700,80,0.97,2006
36,Fornax,3h 18m 54.03s,−34° 21′ 29.2″,,45,L7,2MASS J03185403-3421292 [de],49,0.97,2008
37,,3h 20m 59.65s,18° 54′ 23.3″,,47,M8,2MASS J03205965+1854233,88,1.15,n/a
38,,3h 23m 10.02s,−46° 31′ 23.7″,,192,L0γ,2MASS J03231002-4631237,23,1.66,n/a
39,,3h 25m 53.22s,4° 25′ 40.6″,,59,T5.5,SDSS J032553.17+042540.1,45,0.95,n/a
40,Eridanus,3h 26m 42.25s,−21° 2′ 5.7″,,80,L5γ,2MASS J03264225-2102057 [de],18,1.3,2003
41,Taurus,3h 28m 42.65s,23° 2′ 5.1″,,98,L8,2MASS J03284265+2302051 [de],54,0.98,2000
42,,3h 34m 12.18s,−49° 53′ 32.2″,,27.0,M9,2MASS J03341218-4953322,73,1.04,n/a
43,Fornax,3h 39m 35.22s,−35° 25′ 44″,10.725,20.9,M9β,LP 944-20,73,1.43,n/a
44,,3h 45m 43.16s,25° 40′ 23.3″,,88,L0,2MASP J0345432+254023,74,1.05,1997
45,Taurus,3h 47m 18s,+24° 22′ 31″,,380,M8,Teide 1,55,3.78,1995
46,,3h 51m 0.04s,−0° 52′ 45.2″,,48,M8,2MASS J03510004-0052452,102,1.27,n/a
47,Taurus,3h 55m 23.37s,11° 33′ 43.7″,14.05,29.8,L5γ,2MASS J03552337+1133437,20,1.32,2006
48,Horologium,3h 57m 26.95s,−44° 17′ 30.5″,14.37,130,L0β,DENIS-P J035726.9-441730 [de],,,n/a
49,Eridanus,4h 15m 19.54s,−9° 35′ 6.6″,15.7,18.6,T8,2MASS J04151954−0935066,30,0.95,2002
50,Eridanus,4h 23m 48.58s,−4° 14′ 3.5″,14.5,50,L7.5,SDSSp J042348.57-041403.5 [de],,,2002
51,Eridanus,4h 28m 50.96s,−22° 53′ 22.7″,,85,L0.5,2MASS J04285096-2253227 [de],80,1.09,2003
52,,4h 35m 16.13s,−16° 6′ 57.5″,,34,M7,2MASS J04351612-1606574,100,1.26,n/a
53,,4h 36m 27.88s,−41° 14′ 46.5″,,142,M8βγ,2MASS J04362788-4114465,39,1.97,n/a
54,Eridanus,4h 39m 1.01s,−23° 53′ 8.3″,,29.5,L6.5,2MASS J04390101-2353083 [de],48,0.97,2003
55,,4h 41m 44.9s,23° 1′ 58.07″,,470,M8.5,2MASS J04414489+2301513,19,,2010
56,,4h 43m 37.61s,−0° 2′ 5.1″,,82,M9γ,2MASS J04433764+0002040,22,1.78,n/a
57,Caelum,4h 45m 53.87s,−30° 48′ 20.4″,,42,L2,2MASS J04455387-3048204 [de],64,1.00,2003
58,Caelum,4h 51m 0.93s,−34° 2′ 15″,,69,L0.5,2MASS J04510093-3402150 [de],1.04,72,2003
59,Orion,5h 0m 21s,3° 30′ 50.1″,,44,L4,2MASS J05002100+0330501 [de],64,1.00,2008
60,Orion,5h 1m 24.06s,−0° 10′ 45.2″,,64,L4γ,2MASS J05012406-0010452 [de],21,1.38,2008
61,Orion,5h 16m 9.45s,−4° 45′ 49.9″,,73,T5.5,2MASS J05160945-0445499 [de],47,0.97,2003
62,Lepus,5h 23m 38.22s,−14° 3′ 2.2″,,40,L2.5,2MASS J0523−1403,68,1.01,n/a
63,Camelopardalis,5h 32m 53.46s,82° 46′ 46.5″,,81,L7,2MASS 0532+8246,83,,2018
64,,5h 39m 52s,−0° 59′ 1.9″,21.05,41.62,L5,SDSS J053951.99-005902.0,61,1.01,n/a
65,Lepus,5h 59m 19.14s,−14° 4′ 48.8″,,34,T4.5,2MASS J05591914-1404488 [de],,,2000
66,Auriga,6h 2m 30.45s,39° 10′ 59.2″,20.88,34.6,L1β,LSR 0602+3910 [de],28,1.41,2003
67,,6h 8m 52.83s,−27° 53′ 58.3″,,102,M8.5γ,2MASS J06085283-2753583,38,1.51,n/a
68,,6h 11m 35.12s,−4° 10′ 24″,,69,L9,WISEP J061135.13-041024.0A,65,,2014
69,,6h 11m 35.12s,−4° 10′ 24″,,69,T1.5,WISEP J061135.13-041024.0B,53,,2014
